UID	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290
YAL012W	-0.208052	-0.391137	-0.24134	-0.016644	0.299595	-0.178925	-0.029127	-0.274628	0.208052	-0.128992	0.12067	-0.004161	0.316239	-0.062416	0.224696	0	0.158119	-0.083221	0.357849	0.058255	0.337044	-0.137314	-0.149797	-0.43
YAL013W	0	0	0	-0.021517	0.06455	0.37654	0.010758	-0.279715	-0.075308	0.172133	-0.279715	-0.333507	-0.344265	-0.150616	-0.06455	0	-0.021517	0.032275	0.365782	0.44109	-0.118341	0.247441	0	0
YAL014C	0.018833	0.320157	0.084747	-0.037666	-0.037666	-0.018833	-0.480235	-0.075331	0	0.433153	-0.178911	0.037666	0.169495	-0.282491	-0.357822	0.065915	-0.037666	0.122413	-0.056498	-0.244826	-0.094164	0.254242	0.188328	0.22
YAL015C	0	0.03793	0.052154	-0.232321	0.118531	-0.018965	0.260769	0.080601	0.156461	-0.042671	-0.232321	0.07586	-0.640069	-0.184909	0.199133	-0.146979	0.066378	0.03793	0.256028	0.308181	0.118531	-0.07586	-0.274993	0.14
YAL016W	0.137487	0.128894	0.128894	0.249196	-0.08593	0.128894	-0.627286	0.163266	-0.128894	0.249196	-0.068744	0.137487	-0.042965	0.103115	-0.14608	0.094523	-0.128894	0.025779	-0.223417	-0.29216	-0.29216	0.214824	0.111708	0.2
YAL017W	0	-0.456733	-0.370682	0.019858	0.469972	-0.092671	0.066193	-0.09929	-0.026477	-0.09929	-0.119148	-0.079432	0.225057	0.046335	0.105909	-0.072813	0.264773	-0.238296	0.19858	0.205199	0.271392	-0.006619	-0.165483	-0.08
YAL018C	-0.13831	0.234359	0.088365	-0.218991	0.207465	-0.330408	0.226675	-0.065313	0.1191	-0.065313	0.149836	0	0.111417	0	0.311198	-0.407247	0	-0.057629	0.399563	0.207465	0	-0.368827	-0.065313	-0.86
YAL019W	0	0.28239	0.047065	-0.141195	0.086286	0.070597	0.172572	0.054909	0.054909	0.251013	-0.054909	-0.219637	-0.274546	-0.156883	-0.062753	-0.039221	0.070597	-0.329455	0.329455	0.407896	0.329455	-0.329455	-0.156883	-0.51
YAL020C	-0.19408	-0.214509	-0.143006	-0.07661	0.081718	-0.061288	0.132791	0	0.066396	-0.102147	-0.035752	-0.025537	0.219617	0.035752	0.311549	-0.102147	0.250261	-0.219617	0.408589	-0.240046	0.515844	-0.183865	-0.229831	-0.38
YAL021C	0	0.133833	0.173196	-0.070853	0.149578	-0.133833	0.125961	-0.094471	0.196814	-0.039363	-0.110216	-0.330647	0.149578	-0.023618	0.196814	-0.157451	0.133833	-0.377882	0.456608	0.086598	0.377882	-0.299157	-0.157451	-0.52
YAL022C	0.056055	-0.103487	-0.254405	-0.245781	-0.038808	-0.146606	0.211285	0.137982	0.495874	0.086239	0.13367	-0.120735	-0.004312	-0.206973	-0.172478	-0.254405	0.232845	-0.038808	0.444131	0.034496	0.245781	-0.112111	-0.15523	-0.55
YAL023C	0	-0.26377	-0.045218	0.030145	0.32406	-0.022609	-0.007536	-0.32406	-0.022609	-0.173335	-0.045218	0.105508	0.32406	0.045218	0.20348	-0.135653	0.406959	-0.226089	0.331597	-0.105508	0.158262	-0.32406	0.195943	-0.57
